country,country_long,capacity_mw,primary_fuel,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
AGO,Angola,22.8,Oil,,,,,64.92
AGO,Angola,14.6,Hydro,60.76,50.79,49.87,80.7,48.53
AGO,Angola,180,Hydro,573.81,732.53,709.84,604.31,678.19
AGO,Angola,520,Hydro,1450.81,1919.52,1853.98,1538.35,1746.62
AGO,Angola,132,Gas,,,,,0
AGO,Angola,16.26,Oil,,,,,46.3
AGO,Angola,20,Gas,,,,,0
AGO,Angola,58,Oil,,,,,165.16
AGO,Angola,18.5,Oil,,,,,52.68
AGO,Angola,10,Oil,,,,,28.47
AGO,Angola,40,Hydro,165.92,138.23,128.15,152.57,125.42
AGO,Angola,11.68,Gas,,,,,0
AGO,Angola,16,Hydro,79.25,66.06,67.94,82.2,66.01
AGO,Angola,11.34,Oil,,,,,32.29
BWA,Botswana,732,Coal,,,,,2931.89
BWA,Botswana,14,Coal,,,,,56.07
CHE,Switzerland,16.93,Hydro,72.57,84.72,78.91,77.77,72.95
CHE,Switzerland,15.2,Hydro,58.66,87.26,64.85,62.47,67.11
CHE,Switzerland,29.2,Hydro,79.41,87.15,87.26,84.55,103.37
CHE,Switzerland,60,Hydro,154.02,170.66,170.66,166.8,195.64
CHE,Switzerland,84.9,Hydro,228.66,243.97,243.97,238.51,279.31
CHE,Switzerland,28.4,Hydro,73.33,81.21,81.21,79.38,93.03
CHE,Switzerland,3.56,Hydro,11.94,15.22,13.47,13.28,14
CHE,Switzerland,120,Hydro,271.51,318.49,327.5,298.52,376.31
CHE,Switzerland,1.73,Hydro,5.74,5.29,6.91,6.34,7.39
CHE,Switzerland,52,Hydro,156.72,226.26,163.96,160.05,171.28
CHE,Switzerland,13,Hydro,36.19,43.61,43.3,40.57,49.38
CHE,Switzerland,35,Hydro,87.23,116.55,105.32,107.14,109.81
CHE,Switzerland,28.5,Hydro,88.53,115.79,92.42,97.88,97.74
CHE,Switzerland,1.03,Hydro,2.41,2.67,2.67,2.61,3.08
CHE,Switzerland,140,Hydro,342.15,366.83,331.27,343.24,390.82
CHE,Switzerland,19.5,Hydro,88.46,90.35,96.82,96.18,99.08
CHE,Switzerland,6.2,Hydro,27.47,28.07,30.13,29.93,30.85
CHE,Switzerland,324,Hydro,562.83,711.65,617.75,599.57,781.68
CHE,Switzerland,141,Hydro,306.46,372.02,330.36,322.62,387.87
CHE,Switzerland,1285,Hydro,3818.03,5051.04,4235.75,4139.59,5060.17
CHE,Switzerland,340,Hydro,727.59,898.43,762.72,768.46,966.88
CHE,Switzerland,8.7,Hydro,25.08,29.93,29.84,28.02,33.91
CHE,Switzerland,20,Hydro,78.28,83.52,79.18,78.13,86.83
CHE,Switzerland,1.28,Hydro,3.01,3.3,3.3,3.21,3.8
CHE,Switzerland,50,Hydro,129.74,148.31,119.22,127.65,143.49
CHE,Switzerland,1.62,Hydro,5.45,5.27,5.62,5.51,6.4
CHE,Switzerland,100,Hydro,283.84,298.57,259.51,285.22,267.59
CHE,Switzerland,114,Hydro,324.56,339.03,339.03,331.73,386.49
CHE,Switzerland,1.38,Hydro,3.05,3.36,3.36,3.27,3.91
CHE,Switzerland,2,Hydro,5.17,5.73,5.73,5.6,6.52
CHE,Switzerland,8.7,Hydro,20.48,22.78,22.78,22.21,26.22
CHE,Switzerland,54,Hydro,206.62,212.08,206.63,187.2,185.89
CHE,Switzerland,260.5,Hydro,569.66,613.19,613.19,596.07,742.09
CHE,Switzerland,15,Solar,20.96,22.96,22.81,22.07,22.53
CHE,Switzerland,66,Hydro,205.32,255.66,208.11,203.15,217.4
CHE,Switzerland,18.24,Hydro,57.49,62.06,58.26,62.52,73.14
CHE,Switzerland,2.94,Hydro,12.08,12.92,11.57,12.73,13.32
CHE,Switzerland,46.9,Hydro,116.51,167.82,211.79,144.14,214.78
CHE,Switzerland,135,Hydro,326.61,343.75,343.75,334.95,402.57
CHE,Switzerland,1.45,Hydro,4.71,4.58,4.97,4.6,5.59
CHE,Switzerland,11.5,Hydro,44.93,52.11,44.09,45.48,45.8
CHE,Switzerland,64,Hydro,175.5,203.71,186.02,182.93,230.31
CHE,Switzerland,65,Hydro,184.49,196.23,195.35,191.2,212.63
CHE,Switzerland,306,Hydro,741.16,849.47,697.67,668.17,672.72
CHE,Switzerland,140,Hydro,397.54,543.74,400.71,393.74,410.3
CHE,Switzerland,10.3,Hydro,23.41,26.14,26.14,25.46,30.21
CHE,Switzerland,11.33,Hydro,27.26,29.8,29.8,29.06,34.28
CHE,Switzerland,1.9,Hydro,7.03,8.74,7.53,7.45,7.83
